"","Subject","Explicit","Implicit","SSRT","rt.ns"
"1234","1234",1.16904845321817,1.30614300559916,-0.326085001102578,0.413537355305605
"1408","1408",0.495942013792011,1.51427435248341,0.17995564871067,0.550409031387471
"Adonis","Adonis",-0.0150185942470548,0.0278906815899092,-1.11132461504638,0.514736209577376
"AHJ","AHJ",1.76530500072385,-0.355276048987125,-0.562319390036404,0.464715104473281
"alder","alder",-2.9862508625918,-1.53609614914141,0.387487861962935,0.516898967275449
"anja220","anja220",-0.70916450537702,0.689676572192783,-0.449935478640642,0.515247179469583
"askeq","askeq",-1.1050412464144,-1.29476632956825,0.209488585909714,0.564826929648795
"avs","avs",-0.336088737851619,0.102275132849189,0.817992172811448,0.474142680833787
"BareEnAnders","BareEnAnders",0.241765719186056,-0.99485789595794,-1.24773170205779,0.412955954831605
"CD","CD",0.409689462815114,1.69148643793915,0.13052391885488,0.50193618599649
"Cecilie","Cecilie",-0.180808162827262,-0.628150984987743,0.623142118781999,0.536215038130653
"Ditte","Ditte",1.62010722009997,0.269667386770528,0.136260651637106,0.470133619868868
"FARLIGT","FARLIGT",-0.871006089673277,1.21257327612583,0.927104295196671,0.583720270912491
"FSJ","FSJ",1.07616969202327,1.23369404923742,-2.52243005152164,0.482819234433349
"hania","hania",-0.0128208111463349,0.172579595289009,1.45420111819472,0.550769509376962
"Helene","Helene",-0.815881829150365,-0.766551176371038,-0.408653862935988,0.518218407624144
"Ida","Ida",0.657431529736274,-0.327668568248783,-1.55706478304702,0.474777559636379
"Jakob","Jakob",0.952521661522754,0.23419656968099,-0.374230134484431,0.494903487133559
"Jakobtry2","Jakobtry2",-0.973954210261679,-1.06188802738623,-2.00274095986975,0.542976605066213
"Jakub22","Jakub22",-0.149891035578705,1.91326374376455,-0.191277727202814,0.489219657732476
"KasperM","KasperM",0.710281359017201,-0.129581182472728,-0.00888376387209972,0.416809510342801
"Kevan","Kevan",-0.0721008339083836,-0.835714325686317,-0.420200941517312,0.441237975961229
"KK","KK",-0.808803237028033,0.102237702416691,2.1787233555052,0.533901221827749
"Lina","Lina",-0.335446105328691,-0.100952946723043,0.147741479056934,0.474870382674873
"LT0799","LT0799",-0.6731807774946,-1.11413582119816,1.02236131459661,0.533705426484712
"mj","mj",-0.586014906287761,-1.45864837425003,0.631568257217735,0.529187859144566
"Mr Poxycat","Mr Poxycat",1.36738297030767,1.22083950603668,-0.613687746645416,0.464533044658137
"NA_subject","NA_subject",-1.19345303079658,-0.214810585383161,0.597412196508927,0.465157038634688
"NMA","NMA",-0.145839001425134,0.271270660653249,-2.12221096237882,0.538946408266175
"Orlalone","Orlalone",1.36120785643384,0.121607555745982,0.0241088583425455,0.503220284590816
"Pernille Brams","Pernille Brams",0.597568482516121,0.143727547282028,-0.104009421248088,0.451421976652131
"Q744","Q744",0.359071948524842,0.263579805330962,0.661395507226054,0.509006041548979
"SHDN","SHDN",1.07899545462843,-1.6283654380795,-0.417585402386174,0.458141677951275
"Signe","Signe",-2.40471209286744,-0.040521724564245,1.13824275174677,0.579101698169164
"Silja","Silja",-0.152477230303199,-1.06264051932954,-0.46834945119888,0.508282889858824
"SK","SK",1.15023712435846,-0.296429375756565,-0.0438881840386183,0.466070770420491
"SKB","SKB",0.400997348113249,0.611521594576199,0.0383099891246548,0.508295897638763
"sm2344","sm2344",-0.971990337389558,-0.384234060865238,0.0733686006321769,0.544584896059665
"Sommer","Sommer",-0.820503988255002,2.83087189380172,0.703433513109076,0.526582767930586
"sophierand","sophierand",0.801171685698721,-1.7624463143012,-1.0741610186855,0.540156830146674
"TDK","TDK",0.522961599378725,-0.0684062405091712,0.858022750242141,0.514097419656839
"tom_cruise_449966881rd","tom_cruise_449966881rd",-0.277297648776262,-0.120010189393909,-1.22533779028058,0.446736493833884
"TP","TP",1.29671669738645,-0.155280046810618,-0.375488171643817,0.456428571190451
"Tredje","Tredje",-0.656659359053706,-0.187153405027644,-0.551621264625891,0.51516404064314
"TRS","TRS",-0.667903212251435,-0.0197884755609993,1.16809621312838,0.570806056240917
"Ulrik D","Ulrik D",-1.09986812370161,-1.20008788524126,2.23320756287419,0.605714138675357
"Verdensborgeren","Verdensborgeren",1.08186887891771,1.60656834959881,0.960230231555556,0.445395222055685
"whatup","whatup",-0.0942661884120048,0.204516672837592,0.876838871539547,0.541940075415629
